name,Starting place,Ending place,Via,stops,type,comments
77H,Bethaniapuram,Thirupalai,"Arapalayam, Simmakkal, Goripalayam, Iyer Bunglow","Bethaniapuram, Arapalayam, Simmakkal, Goripalayam, Iyer Bunglow, Thirupalai",DLX,
77k,Mattuthavani,Kochadai,"Arapalayam, Kalavasal","Mattuthavani, Arapalayam, Kalavasal, Kochadai",DLX,
77*,Mattuthavani,Thuvariman,"Anna BS, Arapalayam, Kochadai","Mattuthavani, Anna BS, Arapalayam, Kochadai, Thuvariman",DLX,
77k*,Mattuthavani,Thuvariman,"Anna BS, Arapalayam, Kochadai","Mattuthavani, Anna BS, Arapalayam, Kochadai, Thuvariman",DLX,
77M,Mattuthavani,Vilangudi Market,"Court, Goripalayam, Simmakkal, Arapalayam, Fathima College","Mattuthavani, Court, Goripalayam, Simmakkal, Arapalayam, Fathima College, Vilangudi Market",DLX,
77P,Arapalayam,Mattuthavani,"Simmakkal, Goripalayam, Pudhur, Surveyor Colony","Arapalayam, Simmakkal, Goripalayam, Pudhur, Surveyor Colony, Mattuthavani",DLX,
77T,Mattuthavani,Kochadai,"Goripalayam, Simmakkal, Arapalayam, Kaalavasal","Mattuthavani, Goripalayam, Simmakkal, Arapalayam, Kaalavasal, Kochadai",,
77TT,Mattuthavani,Thuvariman,"Arapalayam, Kalavasal","Mattuthavani, Arapalayam, Kalavasal, Thuvariman",DLX,
80,Periar,Sakudi,"Theppakulam, Iravathanallur, Silaiman, Thirupuvanam","Periar, Theppakulam, Iravathanallur, Silaiman, Thirupuvanam, Sakudi",,
83B,Mattuthavani,Ambalathadi,"Sellur, Koodal Nagar, Aariyur","Mattuthavani, Sellur, Koodal Nagar, Aariyur, Ambalathadi",,
84A,Mattuthavani,Thethur,Sellur,"Mattuthavani, Sellur, Thethur",,
86,Periar,T.Kokkulam,"Avaniapuram, Koodal Kovil","Periar, Avaniapuram, Koodal Kovil, T.Kokkulam",,
86,Periar,T.Pudhupatti,"Avaniapuram, Koodal Kovil","Periar, Avaniapuram, Koodal Kovil, T.Pudhupatti",,
87A,Periar,Arasanur,"Anna BS, Karupayurani, Varichiyur, Poovandhi","Periar, Anna BS, Karupayurani, Varichiyur, Poovandhi, Arasanur",,
89,Mattuthavani,Alanganallur,"Anna Nilayam, Sellur, Kumaram","Mattuthavani, Anna Nilayam, Sellur, Kumaram, Alanganallur",LSS,
89A,Mattuthavani,ThathaKoundanpatti,"Anna Nilayam, Sellur, Kumaram, A.Pudhupatti","Mattuthavani, Anna Nilayam, Sellur, Kumaram, A.Pudhupatti, ThathaKoundanpatti",LSS,
91,Periar,Kaliyandhu,"Theppakulam, Ring Road, Silaiman, Thirupuvanam","Periar, Theppakulam, Ring Road, Silaiman, Thirupuvanam, Kaliyandhu",,
91,Periar,Keelavellur,"Silaiman, Thirupuvanam","Periar, Silaiman, Thirupuvanam, Keelavellur",,
91A,Periar,Mangudi,"Silaiman, Thirupuvanam, Naiinarpettai","Periar, Silaiman, Thirupuvanam, Naiinarpettai, Mangudi",,
91B,Periar,Keelavellur,"Silaiman, Thirupuvanam","Periar, Silaiman, Thirupuvanam, Keelavellur",,
92,Mattuthavani,Natham,"Oomachikulam, Sathirapatti","Mattuthavani, Oomachikulam, Sathirapatti, Natham",SLF,
93,Mattuthavani,Sholavandhan,"Anna Nilayam, Sellur, Paravai, Samayanallur, Thenur","Mattuthavani, Anna Nilayam, Sellur, Paravai, Samayanallur, Thenur, Sholavandhan","LSS, SLF",
93A,Mattuthavani,Kuruvithurai,"Anna Nilayam, Sellur, Paravai, Samayanallur, Thenur, Sholavandhan","Mattuthavani, Anna Nilayam, Sellur, Paravai, Samayanallur, Thenur, Sholavandhan, Kuruvithurai",,
94,Anna BS,Thanichiyam,"Goripalayam, Alanganallur","Anna BS, Goripalayam, Alanganallur, Thanichiyam",,
94B,Periar,Keelavellur,"Vetrilaipettai, Theppakulam, Silaiman, Thirupuvanam","Periar, Vetrilaipettai, Theppakulam, Silaiman, Thirupuvanam, Keelavellur",,
95A,Periar,T.Mettupatti,"Alanganallur, T.Mettupatti","Periar, Alanganallur, T.Mettupatti, T.Mettupatti",,
96,Periar,Melarankiam,"Therku Vasal, Theppakulam, Iravathanallur, Silaiman, Thirupuvanam","Periar, Therku Vasal, Theppakulam, Iravathanallur, Silaiman, Thirupuvanam, Melarankiam",,
97,Periar,Poompidakai,"Silaiman, Thirupuvanam, Karuvaludi, S.Nankur","Periar, Silaiman, Thirupuvanam, Karuvaludi, S.Nankur, Poompidakai",,
99,Periar,Thirupachethi,"Therku Vasal, Theppakulam, Iravathanallur, Thirupuvanam","Periar, Therku Vasal, Theppakulam, Iravathanallur, Thirupuvanam, Thirupachethi",,
99G,Periar,Kallurani,"Theppakulam, Thirupuvanam","Periar, Theppakulam, Thirupuvanam, Kallurani",,
99H,Periar,Vakudi,"Theppakulam, Iravathanallur, Thirupuvanam, Sembaranendhal","Periar, Theppakulam, Iravathanallur, Thirupuvanam, Sembaranendhal, Vakudi",,
99K,Periar,Killikudi,"Silaiman, Thirupuvanam, Thirupachethi","Periar, Silaiman, Thirupuvanam, Thirupachethi, Killikudi",,
99L,Periar,Vilathur,"Thirupuvanam, Thirupachethi, Thanjakur","Periar, Thirupuvanam, Thirupachethi, Thanjakur, Vilathur",,
99M,Periar,Idaikatur,"Theppakulam, Iravathanallur, Silaiman, Thirupuvanam","Periar, Theppakulam, Iravathanallur, Silaiman, Thirupuvanam, Idaikatur",,
99N,Periar,Kaanur,"Theppakulam, Silaiman, Thirupuvanam, Thirupachethi","Periar, Theppakulam, Silaiman, Thirupuvanam, Thirupachethi, Kaanur",,
99S,Periar,Sullankudi,"Thirupuvanam, Thirupachethi, Vellikurichi","Periar, Thirupuvanam, Thirupachethi, Vellikurichi, Sullankudi",,
99V,Periar,Vempathur,"Therku Vasal, Silaiman, Thirupuvanam","Periar, Therku Vasal, Silaiman, Thirupuvanam, Vempathur",,
99X,Periar,Malavarayanendhal,"Therku Vasal, Keelavasal, Theppakulam, Silaiman, Thirupuvanam","Periar, Therku Vasal, Keelavasal, Theppakulam, Silaiman, Thirupuvanam, Malavarayanendhal",,
700,Periar,Mattuthavani,"Simmakkal, Goripalayam, Court, Poo Market","Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani","DLX, LSS",
700,Vasantha Nagar,Mattuthavani,"Periar, Simmakkal, Goripalayam, Court, Poo Market","Vasantha Nagar, Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani",DLX,
700A,Periar,High Court,"Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani","Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani, High Court",DLX,
700E,Ellis Nagar,Mattuthavani,"Ma.Palayam, Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani","Ellis Nagar, Ma.Palayam, Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani, Mattuthavani",,
701,Mattuthavani,Periar,"Therku Vasal, Meenakshi Amman Temple","Mattuthavani, Therku Vasal, Meenakshi Amman Temple, Periar",DLX,
701A,Periar,High Court,"Mattuthavani, Therku Vasal, Meenakshi Amman Temple","Periar, Mattuthavani, Therku Vasal, Meenakshi Amman Temple, High Court",DLX,
5,Thirunagar,Mattuthavani,"Thiruparankundram poonga, Moolakarai, Pasumalai, Palanganatham, Vasantha Nagar, Madurai College, Periar, Railway Station, Simmakkal, Goripalayam, Thallakulam, Court, Market","Thirunagar, Thiruparankundram poonga, Moolakarai, Pasumalai, Palanganatham, Vasantha Nagar, Madurai College, Periar, Railway Station, Simmakkal, Goripalayam, Thallakulam, Court, Market, Mattuthavani",DLX,
5,Periar,Thiruparankundram,"Palanganatham, Pasumalai","Periar, Palanganatham, Pasumalai, Thiruparankundram",,
5AN,Thiruparankundram,Anna Nagar,"Palanganatham, Periar, Simmakkal, GH, Anna Nilayam, Arvindh Eye Hospital","Thiruparankundram, Palanganatham, Periar, Simmakkal, GH, Anna Nilayam, Arvindh Eye Hospital, Anna Nagar",LSS,
5A,Periar,Thenpalanji,"Palanganatham, Thiruparankundram, Thirunagar 3, 2nd","Periar, Palanganatham, Thiruparankundram, Thirunagar 3, 2nd, Thenpalanji",,
5AA,Thenpalanji,Mattuthavani,"Thirunagar, Thiruparankundram, Periar","Thenpalanji, Thirunagar, Thiruparankundram, Periar, Mattuthavani",,
5B,,,,", , ",,
5C,Periar,Harveypatti,,"Periar, , Harveypatti",,
5D,Periar,Karuvelampatti,"Palanganatham, Thiruparankundram","Periar, Palanganatham, Thiruparankundram, Karuvelampatti",,
5DD,Karuvelampatti,Mattuthavani,"Thirunagar, Thiruparankundram, Periar","Karuvelampatti, Thirunagar, Thiruparankundram, Periar, Mattuthavani",,
5E,Periar,Sambakulam,,"Periar, , Sambakulam",,
5EE,Periar,Sambakulam,"Thirunagar, Thiruparankundram, Periar, Simmakkal, Anna BS, Court","Periar, Thirunagar, Thiruparankundram, Periar, Simmakkal, Anna BS, Court, Sambakulam",,
5F,Periar,Sekkanoorani,,"Periar, , Sekkanoorani",LSS,
5G,Periar,Vellaparanpatti,Thenpalanji,"Periar, Thenpalanji, Vellaparanpatti",,
